hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
apple,188,124,6171458
avocado,8,4,56688
bacon,4,8,2221
bake,21,0,5238
banana,4,21,558
barbecue,4,0,7462
basil,4,0,46
beans,12,5,7492
beef,8,17,4162
berry,4,0,362
blueberry,4,0,101225
bread,29,9,65725
breakfast,50,0,55758
brownie,4,0,21
brunch,12,0,12246
burrito,4,0,26829
butter,12,59,1308
cake,71,46,22533
calorie,4,0,71
candy,8,9,10467
cashew,4,0,88
cassava,4,0,10829
caviar,4,0,2608
celery,4,0,3833
cheddar,8,0,1600
cheese,21,12,72238
cheesecake,4,4,683
chef,17,4,52425
cherry,38,91,18396
chicken,21,4,4142
chips,8,0,10892
chocolate,17,25,15425
chutney,4,0,9471
citrus,8,0,10342
cod,67,41,31321
coffee,92,37,9936092
cook,12,5,3121
cookbook,4,4,32812
cookie,4,4,162
corn,8,9,12833
cranberry,8,0,82142
cuisine,17,0,2583
cupcake,4,8,58008
curry,17,0,5362
dairy,8,13,6608
dessert,8,0,45892
diet,54,4,74708
diner,4,0,442
dinner,38,0,152700
dish,8,25,3892
dressing,4,0,788
drink,17,8,63883
eat,8,34,1392
elderberry,4,0,100
fast,17,0,19492
fat,21,4,1592
fed,8,0,9921
feed,12,0,376021
fig,8,0,1292788
fire,50,8,601029
fish,12,17,4650
flour,4,0,608
food,279,150,1084183
fruit,4,0,4
garlic,12,9,69017
gastronomy,4,0,562
ginger,8,4,11388
gingerbread,4,4,162
grain,4,0,608
grape,4,0,38279
grated,4,0,51296
greens,4,0,3217
guacamole,4,0,3750
ham,21,8,26712
hamburger,4,0,2221
hash,4,0,649942
herbs,8,0,725
honey,17,91,114592
hot,129,242,88775
hunger,25,8,896758
hungry,4,4,7767
ice,83,9,21446
jam,8,42,79
jelly,12,5,10825
juice,4,0,33
kale,8,21,653604
kebab,4,0,58
kitchen,21,4,35821
knife,21,4,13162
lamb,4,0,33733
lemon,4,0,542
lettuce,4,0,450
lime,4,0,192
lobster,4,0,854
lunch,29,4,228317
macaroon,4,0,23367
mango,4,0,16375
meat,21,4,25396
melon,8,0,600
menu,8,0,10225
milk,8,21,12854
millet,4,4,5246
minerals,8,34,2142
mint,4,8,25
mochi,4,0,1117
mozzarella,4,0,758
mug,8,0,1175
mushroom,4,0,3104
napkin,4,0,1038
nutmeg,4,0,2092
nutrition,25,8,29079
oatmeal,8,0,596
oats,4,0,58
oil,46,25,87429
olive,12,5,3417
orange,8,25,4067
order,12,9,488
pan,29,9,155354
papaya,4,0,45721
pasta,4,13,758
pastry,8,0,9514783
patty,4,0,3804
pea,4,0,771
pepper,4,0,700
pie,8,9,45892
pineapple,4,0,867
pitcher,4,0,112
pizza,38,16,535954
plate,4,0,7421
pomegranate,4,0,2317
pop,75,4,563271
popcorn,8,4,19198371
pork,4,8,2221
pot,4,0,0
potato,8,9,1500
protein,4,0,796
pumpkin,29,13,67608
recipe,54,13,732688
restaurant,25,17,6762
ribs,4,0,1946
rice,17,4,2433
rosemary,4,0,242
saffron,4,0,700
salad,4,8,50
salmon,4,8,867
salsa,4,0,1883
salt,8,9,3429
sandwich,4,0,8
sauce,4,0,33
scallops,4,0,446
seeds,8,0,1975
shrimp,4,0,854
slaw,4,0,12
snack,8,0,554
soda,4,0,5171
soup,8,9,35654
soybeans,4,0,7025
spices,4,0,8
spinach,4,0,696
spoon,462,63,101962
sprinkles,4,0,9162
steak,17,4,14354
sugar,4,4,229
sushi,29,0,94771
sweet,8,25,2358
syrup,4,0,29
taco,4,0,212
tamale,4,0,3679
tea,21,4,15492
toast,8,0,583
tofu,4,0,29
tortilla,4,4,4692
tuna,4,0,10138
turkey,58,88,76846
turmeric,4,0,26962
vegetable,4,4,105638
vitamin,4,0,0
wasabi,4,0,1171
water,38,24,5475
wheat,4,0,154138
yam,4,0,204
yeast,4,0,333
yogurt,4,0,4346
almond,4,0,1258
anchovy,4,0,5679
anise,4,0,33
appetite,4,0,962
appetizer,4,0,0
apricot,4,0,825
artichoke,4,0,204
asparagus,4,0,7517
aspic,4,0,2275
ate,4,0,42
bagel,4,0,5921
barley,0,4,0
batter,4,0,6929
beancurd,4,0,1646
beet,0,4,0
biscuit,4,0,6812
bitter,4,0,2742
blackberry,0,4,0
bland,4,0,80783
boil,4,0,29446
bowl,0,4,0
boysenberry,4,0,262
bran,4,0,6562
breadfruit,4,0,129696
brisket,4,0,17
broccoli,4,0,1896
broil,4,0,13021
buckwheat,4,0,7154
buns,0,4,0
cantaloupe,4,0,33
capers,4,0,138
caramel,0,8,0
carbohydrate,0,4,0
carrot,0,8,0
casserole,4,0,54
cater,4,0,34629
cauliflower,4,0,22558
cereal,0,4,0
chard,4,0,1242
chew,4,0,100
chili,0,33,0
chives,0,4,0
chopsticks,4,0,17071
chow,4,0,0
