hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
food,171,62,1952833
recipes,38,4,443321
eating,4,0,27867
recipe,54,25,530429
cook,8,4,4675
cooking,25,29,204971
restaurant,8,0,16438
vegan,75,46,101133
foodporn,38,20,107383
foodie,67,33,40104
yum,21,0,135162
breakfast,8,13,1954
chicken,12,5,99604
lunch,8,13,2646
foodgasm,4,0,438
homemade,42,4,44075
love,538,266,4156983
ramen,17,8,41192
foodies,8,9,617
chef,17,8,14150
pizza,25,4,28642
dessert,21,8,23312
burger,8,4,64483
home,88,41,9460425
nomnomnom,4,0,4783
delivery,12,0,9938
course,4,8,158
kitchen,50,17,29621
cookingshow,4,0,17
dinner,29,9,8854
bacon,0,8,0
pancakes,0,4,0
