hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
food,225,75,1376908
recipes,25,4,605629
eating,8,0,27879
recipe,33,17,86483
cook,4,4,1371
cooking,79,21,471308
restaurant,38,8,17412
vegan,58,59,220683
foodporn,33,13,19758
foodie,96,58,164112
yum,17,16,127867
breakfast,29,17,248521
chicken,17,0,96200
lunch,33,5,196150
foodgasm,4,0,942
homemade,33,0,41654
love,546,316,1479283
ramen,25,0,28204
foodies,17,4,4766392
chef,12,0,19542
pizza,33,13,16229
bacon,17,4,11475
pancakes,4,4,119475
dessert,21,25,5758
burger,8,9,7304
home,108,84,9439942
delivery,8,4,3133
course,29,17,714629
kitchen,29,9,10521
dinner,25,13,20283
nomnomnom,4,0,4
cookingshow,4,0,408
