hashtag,unique_tweets_per_hour,retweets_per_hour,views_per_hour
food,150,83,554792
recipes,29,9,657575
eating,8,4,38625
recipe,38,20,189742
cook,4,4,311854
cooking,58,30,118871
restaurant,17,0,59571
vegan,71,54,118521
foodporn,29,4,41225
foodie,62,42,412579
yum,17,12,247312
breakfast,29,4,232267
chicken,12,0,96200
lunch,17,4,183625
foodgasm,4,0,542
homemade,29,17,6104
love,467,258,1233396
ramen,8,13,66446
foodies,17,0,32817
chef,8,0,467
pizza,21,4,10358
bacon,4,4,3775
pancakes,8,4,138600
dessert,8,17,808
burger,8,9,904
home,88,41,18897033
nomnomnom,4,0,4
delivery,17,0,33904
course,17,4,69996
kitchen,4,4,7871
cookingshow,4,0,408
dinner,21,4,46492
